Timestamp;Do diagrams include all necessary classes?;Do diagrams include all necessary relations?;Do diagrams include all necessary multiplicities?;Are class attributes correctly represented?;Are class operations correctly represented?;Are simple associations correctly represented?;Are aggregation relations among classes correctly represented?;Are composition relations among classes correctly represented?;Are generalisation relations correctly represented?;Are multiplicities in the relations among classes correctly represented?;Are roles in the relations among classes correctly represented?;Are class names meaningful?;If relations are labeled, are their names meaningful?;If roles appear in relations, are their names meaningful?;If multiplicities appear in relations, are they correct?;Does ChatGPT always generate the same result for the same prompt?;If the answer to the previous question is “No”, what elements change?;How many attempts were required to achieve a satisfactory solution?;Do you think that ChatGPT is an adequate tool to generate useful models?;Do you consider ChatGPT a useful tool to learn class diagram modeling?;Do you believe that building a class diagram using ChatGPT (with the necessary corrections) entails more effort than doing it manually?;Do you believe that the tool should be improved to provide better diagrams, faster?;If you answered “Agree” or “Completely Agree” in the previous question, which aspects should be improved?;Other comments
2023/03/29 7:10:02 p. m. EET;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Sometimes;Sometimes;Always;No;"Classes;attributes;operations;relations";4;Do not agree nor disagree;Agree;Completely agree;Completely agree;La comprensión del prompt;
2023/03/30 2:43:38 p. m. EET;Always;Almost always;Almost always;Almost always;Always;Almost always;Almost always;Almost always;Almost always;Almost always;Almost always;Always;;;Almost always;No;operations;3;Agree;Completely agree;Disagree;Do not agree nor disagree;;ChatGPT puede ser una herramienta muy útil de aprendizaje, pero hay que tener cuidado con lo que nos muestra, ya que hay que analizarlo detenidamente para saber si está correcto o no.
2023/03/30 4:51:17 p. m. EET;Always;Always;Always;Always;Almost always;Almost always;Almost always;Almost always;Almost always;Always;Never;Always;Always;;Almost always;No;"relations;Roles;multiplicities";5;Agree;Agree;Disagree;Do not agree nor disagree;;Nada
2023/03/30 11:02:38 p. m. EET;Always;Almost always;Sometimes;Always;Almost always;Almost always;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Always;Sometimes;;Sometimes;No;"relations;multiplicities";2;Agree;Completely agree;Completely disagree;Do not agree nor disagree;;
2023/03/31 2:34:38 p. m. EET;Almost always;Sometimes;Almost never;Almost always;Almost always;Almost never;Never;Almost always;Always;Almost never;Never;Always;Almost always;;Sometimes;No;"relations;multiplicities";More than 5;Completely disagree;Disagree;Agree;Agree;"- Deshacer cambios: ChatGPT no sabe deshacer solo algunas cambios, al final lo cambia todo.
- Más precisión: se le pide algunos cambios de manera explícita y cambia cosas que no son.
- No sabe arreglar su propio código que no compila.";ChatGPT puede llegar a ser útil si se trata de ejemplos pequeños o que no sean muy complejos. Cuando hay muchas relations entre Classes y le pides cambios, no los hace correctamente y es imposible continuar.
2023/03/31 4:40:30 p. m. EET;Almost always;Sometimes;Almost never;Sometimes;Sometimes;Almost never;Never;Almost never;Never;Almost never;Sometimes;Always;Almost always;Almost never;Almost never;No;"relations;Roles;multiplicities";5;Do not agree nor disagree;Agree;Disagree;Do not agree nor disagree;;
2023/03/31 8:32:39 p. m. EET;Sometimes;Almost always;Almost always;Almost always;Almost always;Always;Almost always;Sometimes;Almost always;Almost never;Almost always;Always;Sometimes;Sometimes;Sometimes;No;attributes;4;Agree;Completely agree;Completely disagree;Do not agree nor disagree;;
2023/03/31 8:54:30 p. m. EET;Always;Almost always;Sometimes;Almost always;Sometimes;Almost always;Almost always;Sometimes;Sometimes;Almost never;Almost never;Always;Almost always;;Almost never;No;"operations;relations;Roles;multiplicities";3;Do not agree nor disagree;Agree;Agree;Completely agree;El entendimiento de las relations y sus multiplicities;
2023/03/31 11:55:29 p. m. EET;Almost always;Sometimes;Sometimes;Almost always;Sometimes;Sometimes;Almost never;Almost never;Almost always;Sometimes;Never;Sometimes;Almost never;Almost never;Almost never;No;"relations;multiplicities";More than 5;Disagree;Do not agree nor disagree;Agree;Completely agree;La creación de relations, multiplicities y roles, que Almost always lo hace mal.;
2023/04/01 12:16:19 p. m. EET;Always;Always;Sometimes;Always;Always;Always;Always;Sometimes;Sometimes;Sometimes;Sometimes;Always;Sometimes;Sometimes;Almost never;No;"Classes;attributes;operations;relations;Roles;multiplicities";2;Disagree;Agree;Completely agree;Agree;La capacidad de comprensión del entorno, a menos que le digas concretamente cada detalle cada nombre y cada multiplicidad, no te va a generar lo que esperas, si le das una descripción tal y como se nos da a los alumnos de un problema, va a generar, probablemente, un diagrama mediocre que aunque parecido a lo que esperamos, necesitará muchas correcciones.;ChatGPT solo genera respuestas que sabe que tiene relación con lo que le has dicho, no entiende el problema y solo genera lo que cree que es mas correcto. No tiene capacidad de entender el problema. La única forma de que haga exactamente lo que quieras es decirle exactamente cada detalle del diagrama, y para eso, es mejor hacerlo directamente uno mismo. Quizá puede ser útil para un diagrama con muchas Classes y relations para que te de un esqueleto inicial, pero personalmente no lo usaría, habría que ver que tan bueno es la versión de GPT-4 para darle una oportunidad.
2023/04/01 1:03:19 p. m. EET;Always;Almost always;Sometimes;Almost always;Always;Always;Almost never;Almost never;Never;Sometimes;Never;Always;Always;Sometimes;Sometimes;No;"relations;multiplicities";2;Agree;Agree;Completely agree;Completely agree;La forma de analizar las relations entre Classes para que pueda representar de forma correcta las multiplicities y asociaciones de agregación y composición;
2023/04/01 4:29:12 p. m. EET;Always;Always;Always;Almost always;Sometimes;Almost never;Almost always;Sometimes;Almost always;Sometimes;Almost never;Almost always;Almost always;Sometimes;Sometimes;No;"operations;relations";4;Agree;Agree;Do not agree nor disagree;Agree;Deberían mejorarse el tema de identificación de relations, ya que en mi caso he tenido problemas con las relations de agrupación ya que las confunde con las de asociación. Y a la hora de variar con los prompts cambia aspectos que no se le han pedido.;En general, es una buena técnica para realizar diagramas de forma rápida, ya que he visto que no solo realiza diagramas de clase en forma de uml, sino que también en forma gráfica, lo cuál lo hace más visual.
2023/04/01 5:14:23 p. m. EET;Always;Always;Always;Always;Always;Always;Sometimes;Sometimes;Sometimes;Always;Almost never;Always;;;;No;"Classes;attributes;operations;relations;Roles;multiplicities";4;Agree;Agree;Agree;Do not agree nor disagree;;Lo cierto es que chatGPT me ha parecido una herramienta muy útil pero para una traza general de lo que sería el modelo, sin embargo, para un resultado final, debe haber alguien mirándolo a mano.
2023/04/01 5:31:02 p. m. EET;Almost always;Always;Almost always;Always;Almost always;Almost always;Almost always;Almost always;Almost always;Almost always;Almost always;Always;Always;Always;Almost always;No;"Classes;attributes;relations;multiplicities";5;Disagree;Disagree;Completely agree;Do not agree nor disagree;;
2023/04/01 5:49:53 p. m. EET;Always;Always;Sometimes;Always;Always;Almost always;Almost never;Sometimes;Always;Almost never;Never;Always;;;Almost never;No;"Classes;attributes;operations;relations;Roles;multiplicities";More than 5;Disagree;Agree;Agree;Agree;Se debería mejorar la asignación de multiplicities en las relations.;
2023/04/01 8:32:15 p. m. EET;Almost always;Sometimes;Almost never;Almost always;Almost always;Almost always;Sometimes;Sometimes;Almost never;Sometimes;Almost never;Almost always;Sometimes;Sometimes;Sometimes;No;"operations;relations;Roles;multiplicities";More than 5;Do not agree nor disagree;Agree;Do not agree nor disagree;Completely agree;Mejorar la interpretación del prompt a la hora de crear las relations y sus multiplicities, evitar modificar cosas que no guardan relación con el cambio sugerido, crear un código libre de errores, poder retroceder al punto del desarrollo de la solución que decidas ...;Aunque es una herramienta muy útil e innovadora, requiere de la revisión y corrección de un tercero. Por tanto, puede ser de gran ayuda a la hora de elaborar diagramas UML, pero si no tienes los conocimientos suficientes darás por buena soluciones que contienen errores camuflados. En definitiva, hasta ahora ChatGPT en este campo es más una herramienta de apoyo, pero es un buen punto de partida para futuras tecnologías que nos ahorrarán una grna cantidad de trabajo.
2023/04/01 9:13:01 p. m. EET;Always;Almost always;Almost always;Almost always;Almost always;Always;Sometimes;Sometimes;Almost always;Sometimes;Always;Always;Always;Almost always;Sometimes;No;"relations;multiplicities";3;Agree;Completely agree;Disagree;Agree;Creo que debería prestar más atención a las multiplicities y las agregaciones o composiciones que se le especifican en el prompt;
2023/04/01 9:57:40 p. m. EET;Always;Almost always;Almost always;Always;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Almost always;Sometimes;Always;Almost always;Sometimes;Sometimes;No;"relations;Roles;multiplicities";More than 5;Do not agree nor disagree;Agree;Agree;Do not agree nor disagree;;
2023/04/02 12:41:58 a. m. EET;Almost always;Almost always;Almost always;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Almost always;Almost always;Almost always;Always;Sometimes;Sometimes;Almost always;No;"Classes;attributes;operations;relations;Roles;multiplicities";5;Agree;Completely agree;Disagree;Do not agree nor disagree;;
2023/04/02 1:11:17 p. m. EET;Always;Always;Always;Always;Sometimes;Almost never;Never;Always;Always;Almost always;Never;Always;Always;;Sometimes;No;multiplicities;3;Do not agree nor disagree;Agree;Agree;Do not agree nor disagree;;
2023/04/02 1:39:49 p. m. EET;Almost always;Sometimes;Sometimes;Almost always;Almost always;Almost always;Almost never;Almost never;Almost never;Sometimes;Sometimes;Almost always;Almost always;Sometimes;Sometimes;No;"Classes;relations;Roles;multiplicities";5;Agree;Agree;Do not agree nor disagree;Completely agree;relations y multiplicities;
2023/04/02 2:43:16 p. m. EET;Almost always;Sometimes;Sometimes;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Almost never;Almost never;Sometimes;Almost always;Almost always;Sometimes;Almost never;No;"attributes;relations;multiplicities";More than 5;Disagree;Completely agree;Disagree;Do not agree nor disagree;;
2023/04/02 2:43:18 p. m. EET;Almost always;Almost never;Sometimes;Sometimes;Sometimes;Almost always;Sometimes;Sometimes;Sometimes;Almost never;Sometimes;Always;Almost always;Almost always;Almost never;No;"attributes;relations;multiplicities";More than 5;Do not agree nor disagree;Do not agree nor disagree;Agree;Completely agree;Que se representen con mas exactitut al promt dado;
2023/04/02 6:49:42 p. m. EET;Always;Always;Always;Always;Almost always;Almost always;Almost always;Sometimes;Sometimes;Sometimes;Never;Always;Almost always;;Sometimes;No;"Classes;relations;multiplicities";More than 5;Agree;Disagree;Agree;Completely agree;Donde más problemas ha tenido ha sido con las multiplicities ;
2023/04/02 7:43:53 p. m. EET;Always;Always;Almost always;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Almost always;Almost always;Sometimes;Always;Sometimes;;Sometimes;No;"attributes;operations;relations;Roles;multiplicities";More than 5;Do not agree nor disagree;Agree;Do not agree nor disagree;Agree;El establecimiento de las relations, con sus respectivas multiplicities y su tipo.;
2023/04/02 7:57:50 p. m. EET;Almost always;Sometimes;Almost never;Almost always;Almost never;Sometimes;Almost never;Almost never;Almost never;Almost never;Sometimes;Almost always;Almost always;;Sometimes;No;"attributes;operations;relations;multiplicities";4;Do not agree nor disagree;Agree;Do not agree nor disagree;Completely agree;La herramienta suele proporcionar una buena base para el modelo, pero, en mi experiencia, Always comete varios fallos.;
2023/04/02 8:41:10 p. m. EET;Almost always;Almost always;Almost always;Sometimes;Sometimes;Sometimes;Almost never;Almost never;Almost never;Sometimes;Almost always;Always;Always;Always;Sometimes;No;"attributes;relations;multiplicities";3;Do not agree nor disagree;Disagree;Agree;Do not agree nor disagree;;Puede estar bien para ciertas cosas, pero el tiempo empleado no compensa.
2023/04/02 8:43:53 p. m. EET;Always;Almost always;Sometimes;Always;Always;Always;Sometimes;Sometimes;Sometimes;Almost never;Always;Always;Always;Always;Almost never;No;"attributes;operations;relations;multiplicities";More than 5;Disagree;Disagree;Completely agree;Agree;Deberían mejorarse las relations principalmente;
2023/04/02 8:45:35 p. m. EET;Almost always;Sometimes;Almost never;Always;Sometimes;Sometimes;Almost never;Almost always;Sometimes;Sometimes;Sometimes;Always;Never;Almost never;Sometimes;Yes;;More than 5;Do not agree nor disagree;Agree;Do not agree nor disagree;Completely agree;La comprensión hacia lo que se expresa, ya que he intentado realizar un cambio bastantes veces y el ChatGPT no me entendía.;
2023/04/02 8:47:07 p. m. EET;Always;Always;Always;Always;Always;Always;Almost always;Almost always;Always;Always;Almost never;Always;Almost always;;Sometimes;No;"attributes;operations";1;Agree;Completely agree;Disagree;Agree;;
2023/04/02 8:58:31 p. m. EET;Always;Almost always;Almost always;Almost always;Always;Sometimes;Sometimes;Sometimes;Almost always;Sometimes;Almost never;Always;Always;Always;Sometimes;No;"Classes;attributes;operations;relations;multiplicities";5;Do not agree nor disagree;Do not agree nor disagree;Completely agree;Agree;Sobre todo que en caso de querer hacer modificaciones, se centre en la modificación que se le pide y deje igual el resto del diagrama, cambia muchas veces las relations sin que se le pida.;Creo que es muy útil para generar un borrador del diagrama de forma rápida, pero que a partir de ahí es más sencillo cambiar los errores de forma manual.
2023/04/02 9:04:24 p. m. EET;Always;Always;Almost always;Almost always;Almost always;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Almost never;Always;Almost always;Sometimes;Sometimes;No;"Classes;relations;Roles;multiplicities";More than 5;Disagree;Do not agree nor disagree;Agree;Completely agree;La capacidad de tomar el tipo de relación correcto, ya que aunque se las indique muchas veces emplea el mismo tipo de relación para todo el diagrama y para interpretar correctamente la multiplicidad ya que para relations 0...* y 1...* suele cambiar entre ellas con mucha frecuencia de una generación a otra;Lo encuentro como una herramienta muy deficiente para la realización de los diagramas debido a su aleatoriedad en las respuestas y en la incapacidad de interpretar correctamente las instrucciones dadas. Se tarda demasiado en encontrar una solución similar a la deseada a comparación de lo que se tardaría de forma tradicional (varias horas More than tener mala suerte)
2023/04/02 9:35:23 p. m. EET;Almost always;Almost always;Almost always;Sometimes;Almost never;Sometimes;Never;Never;Never;Almost always;Almost never;Almost always;Sometimes;Sometimes;Sometimes;No;"attributes;operations;relations";3;Completely agree;Do not agree nor disagree;Disagree;Agree;Si la Inteligencia Artificial se entrenase en concreto para realizar diagramas, estos serian mas fiables y podrian facilitar muchas tareas.;Aunque da resultados sorprendentes, Always tiene algun fallo. Esto hace que todos los resultados deban ser comprobados por un humano. Cuanto mas avance el uso de la inteligencia artificial, se veran mas errores en produccion, debido a que Inteligencias Artificiales diseñan en muchos casos soluciones vulnerables a fallos.
2023/04/02 10:13:13 p. m. EET;Always;Almost always;Almost never;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Sometimes;Almost never;Almost always;Always;Always;Always;Sometimes;No;"attributes;relations;multiplicities";4;Do not agree nor disagree;Agree;Agree;Agree;Creo que las multiplicities se podrían ajustar más;
2023/04/02 10:28:10 p. m. EET;Almost always;Always;Almost always;Sometimes;Sometimes;Almost always;Almost always;Almost never;Sometimes;Almost never;Sometimes;Almost always;Almost always;Sometimes;Sometimes;No;"attributes;relations";More than 5;Completely agree;Completely agree;Completely disagree;Agree;Intentar aplicar algo More than lógica con respecto a situaciones que pueden llevarse en la realidad.;
2023/04/02 10:37:41 p. m. EET;Almost always;Almost never;Sometimes;Almost always;Sometimes;Almost always;Almost never;Almost never;Almost never;Sometimes;Never;Always;Almost never;;Sometimes;No;"relations;multiplicities";4;Do not agree nor disagree;Agree;Completely agree;Agree;Pienso que ChatGPT debería de mejorar, pero estamos hablando de una herramienta que tiene un uso muy general. Respecto a este tema, creo que estaría bien que hubiera alguna especie de feedback desde chatGPT, que te pregunte cosas y nosotros vayamos respondiendo para que así pueda dar un feedback más cercano. Otra cosa que también estaría bien es poder modificar los valores directamente y tener que redactarlo desde el prompt otra vez, ya que esto genera que chatgpt haga ediciones que no debe;
2023/04/02 11:23:49 p. m. EET;Always;Almost always;Almost always;Almost always;Almost always;Sometimes;Sometimes;Almost always;Almost always;Sometimes;Never;Always;Sometimes;Almost always;Sometimes;No;"Classes;attributes;operations;relations";5;Agree;Do not agree nor disagree;Completely agree;Agree;La generación correcta de las asociaciones y multiplicities;
2023/04/02 11:26:14 p. m. EET;Almost always;Almost always;Always;Always;Always;Always;Almost always;Almost always;Almost always;Almost always;Sometimes;Always;Almost always;Almost always;Almost always;No;"operations;relations;Roles;multiplicities";2;Agree;Agree;Completely disagree;Disagree;;
2023/04/02 11:40:09 p. m. EET;Always;Almost always;Sometimes;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Sometimes;Almost always;Always;Always;Almost always;Almost always;Almost always;No;"Classes;relations;multiplicities";3;Do not agree nor disagree;Do not agree nor disagree;Completely agree;Completely agree;Quizás las relations de agregación, composición, etc... Además algunas multiplicities pueden ser erróneas. No obstante, cabe recalcar que algunos fallos se pueden deber al diseño del prompt;
2023/04/02 11:51:50 p. m. EET;Almost always;Sometimes;Sometimes;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Almost always;Almost never;Almost never;Always;Sometimes;Almost always;Sometimes;No;"Classes;attributes;relations";3;Agree;Completely agree;Completely disagree;Agree;;
2023/04/02 11:56:26 p. m. EET;Always;Always;Almost always;Sometimes;Sometimes;Sometimes;Almost always;Almost never;Almost never;Almost never;Sometimes;Always;Almost always;Almost always;Almost never;No;"Classes;attributes;operations;relations;Roles;multiplicities";More than 5;Do not agree nor disagree;Completely agree;Agree;Completely agree;Tendria que mejorar respecto a entender bien los requisitos que se les pide para que no haya que realizar varios intentos, para añadir los tipos de relations sin que haya que pedirlo directamente ni tener que volver a repetir requisitos para que se cumplan;
2023/04/03 12:05:29 a. m. EET;Always;Always;Sometimes;Always;Always;Always;Always;Always;Almost always;Sometimes;Sometimes;Always;;;Sometimes;No;"Classes;relations";More than 5;Agree;Agree;Completely disagree;Do not agree nor disagree;;
2023/04/03 5:56:11 p. m. EET;Always;Always;Almost always;Almost always;Always;Always;Almost always;Almost always;Almost always;Almost always;Almost always;Always;Always;Always;Almost always;No;"relations;multiplicities";More than 5;Agree;Completely agree;Disagree;Do not agree nor disagree;;La herramienta está muy bien, lo único que creo es que le cuesta acertar del todo con algunas multiplicities, pero por lo demás bastante bien.
2023/04/03 10:45:10 p. m. EET;Sometimes;Almost always;Sometimes;Almost never;Sometimes;Almost always;Sometimes;Almost never;Almost never;Sometimes;Almost always;Almost always;Almost always;Sometimes;Sometimes;No;"Classes;attributes;relations;multiplicities";More than 5;Agree;Do not agree nor disagree;Agree;Agree;Con respecto a la rapidez no tengo problema, el problema se da en que crea Classes y attributes que tú no le has pedido y las relations no las hace correctamente en muchos casos.;El chatGPT no te da un resultado bueno a la primera pero si que te da rápido una base de la cual puedes partir y te puedes ahorrar mucho tiempo
2023/05/07 9:32:33 p. m. EEST;Sometimes;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Almost never;Sometimes;Almost always;Sometimes;Almost never;Almost always;;Almost always;Almost never;No;"operations;relations;multiplicities";More than 5;Do not agree nor disagree;Agree;Disagree;Completely agree;He notado que lo que mas falla ChatGPT es el tipo de relación entre Classes y la multiplicidad de las mismas.;
